[ Valid | 001/300 ] loss = 2.69713, acc = 0.25303 -> best
[ Valid | 002/300 ] loss = 2.24692, acc = 0.31798 -> best
[ Valid | 003/300 ] loss = 2.11426, acc = 0.35646 -> best
[ Valid | 004/300 ] loss = 1.99711, acc = 0.35567
[ Valid | 005/300 ] loss = 2.00777, acc = 0.38017 -> best
[ Valid | 006/300 ] loss = 1.81135, acc = 0.40644 -> best
[ Valid | 007/300 ] loss = 2.50970, acc = 0.27980
[ Valid | 008/300 ] loss = 1.73395, acc = 0.44264 -> best
[ Valid | 009/300 ] loss = 1.83774, acc = 0.43737
[ Valid | 010/300 ] loss = 1.55165, acc = 0.48675 -> best
[ Valid | 011/300 ] loss = 1.65169, acc = 0.46034
[ Valid | 012/300 ] loss = 1.57252, acc = 0.49760 -> best
[ Valid | 013/300 ] loss = 1.33238, acc = 0.54965 -> best
[ Valid | 014/300 ] loss = 1.26775, acc = 0.56224 -> best
[ Valid | 015/300 ] loss = 1.30197, acc = 0.57581 -> best
[ Valid | 016/300 ] loss = 1.17534, acc = 0.58760 -> best
[ Valid | 017/300 ] loss = 1.12146, acc = 0.61040 -> best
[ Valid | 018/300 ] loss = 1.12069, acc = 0.61377 -> best
[ Valid | 019/300 ] loss = 1.08452, acc = 0.61788 -> best
[ Valid | 020/300 ] loss = 1.08060, acc = 0.61763
[ Valid | 021/300 ] loss = 1.69560, acc = 0.46957
[ Valid | 022/300 ] loss = 1.61213, acc = 0.47931
[ Valid | 023/300 ] loss = 1.67057, acc = 0.47373
[ Valid | 024/300 ] loss = 1.79482, acc = 0.44314
[ Valid | 025/300 ] loss = 1.33073, acc = 0.55470
[ Valid | 026/300 ] loss = 1.40697, acc = 0.53427
[ Valid | 027/300 ] loss = 1.41796, acc = 0.54067
[ Valid | 028/300 ] loss = 1.25603, acc = 0.57280
[ Valid | 029/300 ] loss = 1.11612, acc = 0.60240
[ Valid | 030/300 ] loss = 1.21950, acc = 0.59082
[ Valid | 031/300 ] loss = 1.07326, acc = 0.62866 -> best
[ Valid | 032/300 ] loss = 1.07469, acc = 0.62059
[ Valid | 033/300 ] loss = 0.94900, acc = 0.66336 -> best
[ Valid | 034/300 ] loss = 0.98207, acc = 0.64886
[ Valid | 035/300 ] loss = 0.95710, acc = 0.66446 -> best
[ Valid | 036/300 ] loss = 0.90623, acc = 0.67479 -> best
[ Valid | 037/300 ] loss = 0.88290, acc = 0.68324 -> best
[ Valid | 038/300 ] loss = 0.87139, acc = 0.68868 -> best
[ Valid | 039/300 ] loss = 0.86066, acc = 0.68928 -> best
[ Valid | 040/300 ] loss = 0.86679, acc = 0.68675
[ Valid | 041/300 ] loss = 1.18529, acc = 0.59327
[ Valid | 042/300 ] loss = 1.49679, acc = 0.51201
[ Valid | 043/300 ] loss = 1.25550, acc = 0.58873
[ Valid | 044/300 ] loss = 1.36158, acc = 0.58383
[ Valid | 045/300 ] loss = 1.21684, acc = 0.60772
[ Valid | 046/300 ] loss = 1.31202, acc = 0.57303
[ Valid | 047/300 ] loss = 1.80055, acc = 0.48740
[ Valid | 048/300 ] loss = 0.95278, acc = 0.66702
[ Valid | 049/300 ] loss = 0.97751, acc = 0.65978
[ Valid | 050/300 ] loss = 1.03623, acc = 0.63901
[ Valid | 051/300 ] loss = 1.03270, acc = 0.64895
[ Valid | 052/300 ] loss = 0.87084, acc = 0.68892
[ Valid | 053/300 ] loss = 0.87491, acc = 0.68824
[ Valid | 054/300 ] loss = 0.84894, acc = 0.69945 -> best
[ Valid | 055/300 ] loss = 0.84776, acc = 0.70033 -> best
[ Valid | 056/300 ] loss = 0.80409, acc = 0.71264 -> best
[ Valid | 057/300 ] loss = 0.78605, acc = 0.71180
[ Valid | 058/300 ] loss = 0.79065, acc = 0.71687 -> best
[ Valid | 059/300 ] loss = 0.77947, acc = 0.72049 -> best
[ Valid | 060/300 ] loss = 0.78536, acc = 0.72057 -> best
[ Valid | 061/300 ] loss = 1.49010, acc = 0.55123
[ Valid | 062/300 ] loss = 1.47191, acc = 0.56768
[ Valid | 063/300 ] loss = 1.17303, acc = 0.61845
[ Valid | 064/300 ] loss = 0.97531, acc = 0.66005
[ Valid | 065/300 ] loss = 1.08526, acc = 0.64176
[ Valid | 066/300 ] loss = 1.08225, acc = 0.63749
[ Valid | 067/300 ] loss = 1.06027, acc = 0.65610
[ Valid | 068/300 ] loss = 1.04236, acc = 0.65345
[ Valid | 069/300 ] loss = 1.02669, acc = 0.65881
[ Valid | 070/300 ] loss = 0.89038, acc = 0.68525
[ Valid | 071/300 ] loss = 0.89046, acc = 0.68505
[ Valid | 072/300 ] loss = 0.78924, acc = 0.72322 -> best
[ Valid | 073/300 ] loss = 0.77398, acc = 0.72292
[ Valid | 074/300 ] loss = 0.88816, acc = 0.69581
[ Valid | 075/300 ] loss = 0.78000, acc = 0.72627 -> best
[ Valid | 076/300 ] loss = 0.75756, acc = 0.73672 -> best
[ Valid | 077/300 ] loss = 0.75882, acc = 0.73530
[ Valid | 078/300 ] loss = 0.75294, acc = 0.73525
[ Valid | 079/300 ] loss = 0.74585, acc = 0.73855 -> best
[ Valid | 080/300 ] loss = 0.74166, acc = 0.73535
[ Valid | 081/300 ] loss = 1.20231, acc = 0.62452
[ Valid | 082/300 ] loss = 1.02367, acc = 0.65463
[ Valid | 083/300 ] loss = 1.43099, acc = 0.58195
[ Valid | 084/300 ] loss = 0.86665, acc = 0.68351
[ Valid | 085/300 ] loss = 0.94814, acc = 0.65340
[ Valid | 086/300 ] loss = 0.99562, acc = 0.66913
[ Valid | 087/300 ] loss = 0.95964, acc = 0.67299
[ Valid | 088/300 ] loss = 0.89454, acc = 0.70160
[ Valid | 089/300 ] loss = 0.86299, acc = 0.70371
[ Valid | 090/300 ] loss = 1.21170, acc = 0.61525
[ Valid | 091/300 ] loss = 0.88626, acc = 0.70003
[ Valid | 092/300 ] loss = 0.81192, acc = 0.73079
[ Valid | 093/300 ] loss = 0.79622, acc = 0.72679
[ Valid | 094/300 ] loss = 0.75828, acc = 0.73799
[ Valid | 095/300 ] loss = 0.73743, acc = 0.74221 -> best
[ Valid | 096/300 ] loss = 0.78415, acc = 0.73558
[ Valid | 097/300 ] loss = 0.73143, acc = 0.74369 -> best
[ Valid | 098/300 ] loss = 0.74611, acc = 0.74490 -> best
[ Valid | 099/300 ] loss = 0.74485, acc = 0.74132
[ Valid | 100/300 ] loss = 0.73626, acc = 0.74366
[ Valid | 101/300 ] loss = 1.30566, acc = 0.61459
[ Valid | 102/300 ] loss = 0.89015, acc = 0.69523
[ Valid | 103/300 ] loss = 1.28089, acc = 0.59420
[ Valid | 104/300 ] loss = 1.00497, acc = 0.68083
