[ Valid | 001/300 ] loss = 2.30717, acc = 0.19972 -> best
[ Valid | 002/300 ] loss = 1.91661, acc = 0.32645 -> best
[ Valid | 003/300 ] loss = 1.94452, acc = 0.31168
[ Valid | 004/300 ] loss = 2.17729, acc = 0.27678
[ Valid | 005/300 ] loss = 3.00247, acc = 0.25595
[ Valid | 006/300 ] loss = 1.56713, acc = 0.46274 -> best
[ Valid | 007/300 ] loss = 1.68629, acc = 0.42422
[ Valid | 008/300 ] loss = 1.72208, acc = 0.40983
[ Valid | 009/300 ] loss = 1.86230, acc = 0.41164
[ Valid | 010/300 ] loss = 1.47543, acc = 0.48996 -> best
[ Valid | 011/300 ] loss = 1.90798, acc = 0.38745
[ Valid | 012/300 ] loss = 1.38261, acc = 0.52049 -> best
[ Valid | 013/300 ] loss = 1.31570, acc = 0.54850 -> best
[ Valid | 014/300 ] loss = 1.42901, acc = 0.53345
[ Valid | 015/300 ] loss = 1.29442, acc = 0.55380 -> best
[ Valid | 016/300 ] loss = 1.13791, acc = 0.60770 -> best
[ Valid | 017/300 ] loss = 1.16990, acc = 0.59545
[ Valid | 018/300 ] loss = 1.10469, acc = 0.62390 -> best
[ Valid | 019/300 ] loss = 1.10274, acc = 0.62365
[ Valid | 020/300 ] loss = 1.09358, acc = 0.62480 -> best
[ Valid | 021/300 ] loss = 1.77301, acc = 0.40280
[ Valid | 022/300 ] loss = 1.72759, acc = 0.43321
[ Valid | 023/300 ] loss = 1.65625, acc = 0.45425
[ Valid | 024/300 ] loss = 1.41087, acc = 0.53460
[ Valid | 025/300 ] loss = 1.51886, acc = 0.49768
[ Valid | 026/300 ] loss = 1.36345, acc = 0.54563
[ Valid | 027/300 ] loss = 1.21230, acc = 0.59450
[ Valid | 028/300 ] loss = 1.40886, acc = 0.53973
[ Valid | 029/300 ] loss = 1.18698, acc = 0.60436
[ Valid | 030/300 ] loss = 1.15904, acc = 0.61035
[ Valid | 031/300 ] loss = 1.15168, acc = 0.61518
[ Valid | 032/300 ] loss = 1.04656, acc = 0.64263 -> best
[ Valid | 033/300 ] loss = 1.09373, acc = 0.63179
[ Valid | 034/300 ] loss = 1.01199, acc = 0.65526 -> best
[ Valid | 035/300 ] loss = 0.98900, acc = 0.66300 -> best
[ Valid | 036/300 ] loss = 0.92130, acc = 0.69072 -> best
[ Valid | 037/300 ] loss = 0.93237, acc = 0.69131 -> best
[ Valid | 038/300 ] loss = 0.89335, acc = 0.69706 -> best
[ Valid | 039/300 ] loss = 0.89861, acc = 0.69737 -> best
[ Valid | 040/300 ] loss = 0.89024, acc = 0.69839 -> best
[ Valid | 041/300 ] loss = 1.22901, acc = 0.59473
[ Valid | 042/300 ] loss = 1.10690, acc = 0.62783
[ Valid | 043/300 ] loss = 1.16728, acc = 0.60387
[ Valid | 044/300 ] loss = 1.27475, acc = 0.57464
[ Valid | 045/300 ] loss = 1.36986, acc = 0.55423
[ Valid | 046/300 ] loss = 1.32103, acc = 0.57043
