[ Valid | 001/300 ] loss = 2.39259, acc = 0.29538 -> best
[ Valid | 002/300 ] loss = 2.23675, acc = 0.30382 -> best
[ Valid | 003/300 ] loss = 2.50121, acc = 0.29545
[ Valid | 004/300 ] loss = 2.13869, acc = 0.34027 -> best
[ Valid | 005/300 ] loss = 1.92974, acc = 0.41213 -> best
[ Valid | 006/300 ] loss = 2.18258, acc = 0.39010
[ Valid | 007/300 ] loss = 1.66652, acc = 0.45909 -> best
[ Valid | 008/300 ] loss = 2.11173, acc = 0.38083
[ Valid | 009/300 ] loss = 1.55943, acc = 0.48203 -> best
[ Valid | 010/300 ] loss = 1.75896, acc = 0.44552
[ Valid | 011/300 ] loss = 1.40603, acc = 0.53070 -> best
[ Valid | 012/300 ] loss = 1.76927, acc = 0.44848
[ Valid | 013/300 ] loss = 1.36254, acc = 0.53300 -> best
[ Valid | 014/300 ] loss = 1.20796, acc = 0.57879 -> best
[ Valid | 015/300 ] loss = 1.27398, acc = 0.56235
[ Valid | 016/300 ] loss = 1.19213, acc = 0.58940 -> best
[ Valid | 017/300 ] loss = 1.09803, acc = 0.61246 -> best
[ Valid | 018/300 ] loss = 1.06629, acc = 0.61485 -> best
[ Valid | 019/300 ] loss = 1.05595, acc = 0.62246 -> best
[ Valid | 020/300 ] loss = 1.05353, acc = 0.61886
[ Valid | 021/300 ] loss = 1.53592, acc = 0.48667
[ Valid | 022/300 ] loss = 1.53974, acc = 0.50871
[ Valid | 023/300 ] loss = 1.42679, acc = 0.51834
[ Valid | 024/300 ] loss = 1.63288, acc = 0.48187
[ Valid | 025/300 ] loss = 1.34269, acc = 0.56167
[ Valid | 026/300 ] loss = 1.37996, acc = 0.53978
[ Valid | 027/300 ] loss = 1.77121, acc = 0.46184
[ Valid | 028/300 ] loss = 1.16607, acc = 0.59802
[ Valid | 029/300 ] loss = 1.15680, acc = 0.60262
[ Valid | 030/300 ] loss = 1.41021, acc = 0.55844
[ Valid | 031/300 ] loss = 1.23370, acc = 0.58759
